"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"159","4","CIP308328.100","30.9","2012-02-01","77.0","6.0","2.1","2.1","2.0","2.0","2.0","1.9","","2.0","3.8","3.5","3.0","3.25","28.2","8.7378640776699"
"160","5","CIP308328.100","44.0","2012-01-01","46.0","6.0","2.1","2.1","2.0","2.0","2.0","2.0","","2.02","3.5","3.5","3.0","3.25","41.4","5.909090909090913"
"161","1","CIP308328.165","13.1","2012-01-26","71.0","1.0","","4.96","","","","","","4.96","","1.43","","1.43","12.48","4.73282442748091"
"162","2","CIP308328.165","17.8","2012-01-26","71.0","1.0","","7.89","","","","","","7.89","","3.26","","3.26","16.6","6.741573033707861"
"163","3","CIP308328.165","18.4","2012-01-26","71.0","1.0","","9.43","","","","","","9.43","","5.39","","5.39","17.15","6.793478260869566"
"164","4","CIP308328.165","21.6","2012-01-26","71.0","1.0","","14.57","","","","","","14.57","","3.07","","3.07","20.24","6.296296296296309"
"165","5","CIP308328.165","31.3","2012-02-26","102.0","1.0","","15.59","","","","","","15.59","","5.12","","5.12","29.58","5.495207667731637"
"166","1","CIP308328.52","34.4","2012-02-20","96.0","1.0","8.2","","","","","","","","3.6","","","","28.4","17.441860465116278"
"167","2","CIP308328.52","33.4","2012-02-20","96.0","1.0","7.6","","","","","","","","3.5","","","","27.4","17.964071856287426"
"168","3","CIP308328.52","16.2","2012-02-20","96.0","1.0","6.8","","","","","","","","2.9","","","","10.3","36.419753086419746"
"169","4","CIP308328.52","30.2","2012-02-20","96.0","1.0","6.3","","","","","","","","4.0","","","","24.2","19.867549668874172"
"170","5","CIP308328.52","45.2","2012-01-20","65.0","1.0","5.9","","","","","","","","3.8","","","","38.9","13.93805309734514"
"171","1","CIP308328.30","27.3","2012-01-26","71.0","1.0","9.74","","","","","","","","6.76","","","","25.95","4.945054945054951"
"172","2","CIP308328.30","19.0","2012-01-26","71.0","1.0","14.24","","","","","","","","5.0","","","","17.75","6.578947368421052"
"173","3","CIP308328.30","21.9","2012-01-26","71.0","1.0","13.98","","","","","","","","4.94","","","","20.32","7.2146118721461105"
"174","4","CIP308328.30","36.9","2012-01-26","71.0","2.0","21.55","9.84","","","","","","9.84","5.33","4.68","","4.68","34.56","6.341463414634137"
"175","5","CIP308328.30","28.5","2012-02-26","102.0","3.0","13.78","10.38","12.37","","","","","11.375","5.23","2.83","4.54","3.685","25.9","9.122807017543865"
"176","1","CIP308328.44","14.9","2012-02-15","91.0","1.0","2.4","","","","","","","","3.0","","","","13.9","6.7114093959731544"
